id,Code,Name,SpecId,Description
1,NULL,Дисконт,1,NULL
2,NULL,Реструктуризация,1,NULL
3,NULL,Должник,2,NULL
4,NULL,Поручитель,2,NULL
5,NULL,Родственник,2,NULL
6,NULL,Третье лицо,2,NULL
284,PP,Ожидание оплаты,3,NULL
303,Z ,Не согласен с долгом,3,NULL
304,K ,Отказ оплаты,3,NULL
308,Q ,Неплатежеспособен,3,NULL
364365,NO,Напоминание об оплате,3,NULL
628153,NK,Не брал кредит,3,NULL
277,AM,Бросил трубку,4,NULL
279,CE,Звонок сорвался по тех,4,NULL
280,LM,Оставлено сообщение,5,NULL
283,NI,Негативная информация,5,NULL
311,R ,Информацию не передадут,5,NULL
196,IC,Звонок вх.,6,NULL
202,PC,Звонок исх. (авт.),6,NULL
210,PM,Звонок исх. (руч),6,NULL
636281,VR,Viber,6,NULL
637200,NULL,Корпоративный,6,NULL
102,EO,E-mail,8,NULL
194,CA,Передача Коллектору,8,NULL
195,SM,СМС,8,NULL
197,PS,Частичный платеж,8,NULL
198,FV,Визит,8,NULL
200,PA,Передача в Агентство,8,NULL
201,OT,Иное (внести прим.),8,NULL
203,MT,Встреча,8,NULL
204,PL,Передача в Суд,8,NULL
205,LS,Письмо,8,NULL
206,IL,Входящее письмо,8,NULL
207,EI,Входящий E-mail,8,NULL
208,SA,Продажа ссуды,8,NULL
209,WO,Списание,8,NULL
211,SL,StopList,8,NULL
212,ST,Актуализация,8,NULL
213,P ,Звонок исх. (FV),8,NULL
214,I ,Звонок вх. (FV),8,NULL
215,V ,Выезд (FV),8,NULL
216,O ,Встреча в офисе (FV),8,NULL
217,IR,Исходящий IVR,8,NULL
218,IM,Исходящий IVM,8,NULL
219,SF,SMS статус,8,NULL
364360,LF,Признак возврата письма,8,NULL
366148,STI,Передача SkipTracing,8,NULL
366149,STO,Вывод из SkipTracing,8,NULL
366150,STC,SkipTracing Call,8,NULL
366171,VL,Валидация,8,NULL
374129,TEC,Технический,8,NULL
635375,MNL,Ручная очередь,8,NULL
