Id,Name,Coefficient,Description,ListType
2,Влияние на собеседника,15,"Цель: Повлиять на собеседника для получения оплаты (настойчивость, аргументация и проявление заинтересованности оператора)",1
3,Мотивация на оплату,25,"Цель: Оплата от заёмщика или 3 лица, применение санкций, которые уместны, раскрытие последствий.",1
4,Торг по сумме,15,Цель: Получить максимально выгодную для компании комиссию (при постановке РТР и напоминании оцениваем торг по сумме),1
5,Работа с ПО,5,Цель: Корректность данных для анализа эффективности в НКС,1
6,Резюмирование,10,Цель: Понимание уверенности в получении платежа,1
7,Критическая ошибка. Несоблюдение стандартов переговоров,0,"В начале разговора (или по требованию собеседника повторно): не представился, не назвал компанию, не озвучил банк",1
8,Критическая ошибка. Некорректное общение,0,"Переход на ты, крик, оскорбление, угрозы, насмешки, заведомо ложная информация и т.д.",1
9,Критическая ошибка. Ложное обещание в грейсс-период,0,"Некорректная договорённость по дате, но в грейсс-период",1
14,Представление,10,Представление согласно требований контрагента и/или нормы Закона.,1
17,Запрос,0,Для обозначения запросов,1
18,Дисконт озвучен,0,,1
19,Дисконт не озвучен,0,,1
22,Представление и идентификация собеседника,15,"Озвучить имя сотрудника, компанию, уточнить тот ли человек у телефона",2
23,Актуальность резюме,10,Спросить об актуальности резюме,2
24,Презентация компании/вакансии,40,"Описание вакансии, функционал вакансии, условия работы, график, зарплата, месторасположение либо другие положительные факторы для описания привлекательности вакансии/работы в компании",2
25,Привязка к резюме,15,"Привязка к резюме, чтобы сделать акцент на тех пунктах, которые хочет найти кандидат",2
26,Резюмирование,10,"Подведение итога разговора (собеседование либо договоренность о повторном звонке для приглашения, уточнить актуальность телефона, продиктовать адрес и время назначенного собеседования)",2
27,Доброжелательность и вежливость сотрудника,10,Вежливость разговора,2
28,Холодный звонок,0,,2
29,Звонок по отклику на вакансию,0,,2
30,Прослуховування РС згідно запиту,0,,1
31,Критическая ошибка. Ложное обещание,0,РТР поставлено для удержания клиента ( клиент не платит в грейсс-период),1
32,Торг по дате,10,"Цель: получение оплаты в сжатые сроки. При РТР - начинать торг с требования оплаты в трёхдневный срок, при напоминании -  преследовать цель получения планируемого платежа до даты, на которую поставлено РТР и не переносить сразу сроки на последний день грейсс-периода. ",1
33,Формальные санкции,10,Цель: оператор формально сказал санкцию (санкции),1
